Gene_ID	Pfam_ID	Identity	Align_Length	Mismatch	Gap	Q_start	Q_end	T_start	T_end	E_value	Score	Function
fake_2M_genome_001327	A0A094JNG9_9BACL/13-181	100	169	0	0	2	170	1	169	1.8e-90	337.4	A0A094JNG9_9BACL/13-181 A0A094JNG9.1 PF00881.23;Nitroreductase;
fake_2M_genome_001328	A0A094LWX2_9BACL/5-179	39.8	181	103	1	3	183	1	175	5.9e-33	146.4	A0A094LWX2_9BACL/5-179 A0A094LWX2.1 PF01520.17;Amidase_3;
fake_2M_genome_001329	A0A094JTX8_9BACL/6-144	99.3	139	1	0	6	144	1	139	1.6e-78	297.4	A0A094JTX8_9BACL/6-144 A0A094JTX8.1 PF00160.20;Pro_isomerase;
fake_2M_genome_001331	A0A167UV55_9BACI/18-110	51.6	93	45	0	19	111	1	93	1.7e-19	101.3	A0A167UV55_9BACI/18-110 A0A167UV55.1 PF03788.13;LrgA;
fake_2M_genome_001332	A0A094JQN0_9BACL/14-227	100	207	0	0	1	207	8	214	6.7e-107	392.1	A0A094JQN0_9BACL/14-227 A0A094JQN0.1 PF04172.15;LrgB;
fake_2M_genome_001333	A0A094K9S6_9BACL/15-245	100	231	0	0	15	245	1	231	3.8e-122	443.7	A0A094K9S6_9BACL/15-245 A0A094K9S6.1 PF07690.15;MFS_1;
fake_2M_genome_001334	A0A094JNG5_9BACL/86-291	100	206	0	0	86	291	1	206	4.2e-115	419.9	A0A094JNG5_9BACL/86-291 A0A094JNG5.1 PF03466.19;LysR_substrate;
fake_2M_genome_001335	A0A094JTX3_9BACL/39-180	100	142	0	0	39	180	1	142	2.1e-75	288.1	A0A094JTX3_9BACL/39-180 A0A094JTX3.1 PF11258.7;DUF3048;
fake_2M_genome_001336	A0A094M1Q0_9BACL/9-95	100	87	0	0	9	95	1	87	2.2e-42	176.8	A0A094M1Q0_9BACL/9-95 A0A094M1Q0.1 PF01371.18;Trp_repressor;
fake_2M_genome_001337	A0A094JQM6_9BACL/3-228	100	226	0	0	3	228	1	226	2.7e-128	463.4	A0A094JQM6_9BACL/3-228 A0A094JQM6.1 PF01884.16;PcrB;
fake_2M_genome_001338	A0A094K9S3_9BACL/282-622	99.7	341	1	0	282	622	1	341	1.1e-183	649	A0A094K9S3_9BACL/282-622 A0A094K9S3.1 PF13361.5;UvrD_C;
fake_2M_genome_001339	A0A094JNG0_9BACL/4-315	99.7	312	1	0	4	315	1	312	6.8e-177	626.3	A0A094JNG0_9BACL/4-315 A0A094JNG0.1 PF01653.17;DNA_ligase_aden;
fake_2M_genome_001340	A0A0N0HAU4_THEVU/403-506	68.7	99	31	0	425	523	6	104	4.8e-35	154.8	A0A0N0HAU4_THEVU/403-506 A0A0N0HAU4.1 PF01841.18;Transglut_core;
fake_2M_genome_001341	D3EBU2_GEOS4/45-185	59.3	140	55	1	18	155	1	140	4.5e-41	173.7	D3EBU2_GEOS4/45-185 D3EBU2.1 PF00005.26;ABC_tran;
fake_2M_genome_001342	A0A094JTW7_9BACL/69-244	99.4	176	1	0	70	245	1	176	7.2e-87	325.9	A0A094JTW7_9BACL/69-244 A0A094JTW7.1 PF00528.21;BPD_transp_1;
fake_2M_genome_001343	A0A094M1P8_9BACL/6-97	100	92	0	0	6	97	1	92	2.2e-44	183.3	A0A094M1P8_9BACL/6-97 A0A094M1P8.1 PF01910.16;Thiamine_BP;
fake_2M_genome_001344	A0A094JQM2_9BACL/41-254	100	214	0	0	41	254	1	214	1.8e-119	434.5	A0A094JQM2_9BACL/41-254 A0A094JQM2.1 PF09084.10;NMT1;
fake_2M_genome_001345	A0A094K9R9_9BACL/90-241	100	152	0	0	90	241	1	152	2.8e-82	310.8	A0A094K9R9_9BACL/90-241 A0A094K9R9.1 PF00849.21;PseudoU_synth_2;
fake_2M_genome_001346	A0A172ZGH8_9BACL/51-216	53.8	169	72	1	70	238	3	165	3.1e-47	195.3	A0A172ZGH8_9BACL/51-216 A0A172ZGH8.1 PF05057.13;DUF676;
fake_2M_genome_001347	A0A094JTW2_9BACL/11-251	99.6	241	1	0	11	251	1	241	6.4e-136	488.8	A0A094JTW2_9BACL/11-251 A0A094JTW2.1 PF13561.5;adh_short_C2;
fake_2M_genome_001349	A0A094M1P3_9BACL/385-661	100	277	0	0	385	661	1	277	7.3e-160	570.1	A0A094M1P3_9BACL/385-661 A0A094M1P3.1 PF00905.21;Transpeptidase;
fake_2M_genome_001350	Q81RN0_BACAN/9-318	39.9	311	182	3	2	310	1	308	6.9e-53	213.4	Q81RN0_BACAN/9-318 Q81RN0.1 PF03845.12;Spore_permease;
fake_2M_genome_001351	A0A094K9R6_9BACL/24-167	99.3	144	1	0	24	167	1	144	2.4e-68	263.8	A0A094K9R6_9BACL/24-167 A0A094K9R6.1 PF02660.14;G3P_acyltransf;
fake_2M_genome_001352	A0A094JNF2_9BACL/36-260	99.6	225	1	0	36	260	1	225	9.9e-132	474.9	A0A094JNF2_9BACL/36-260 A0A094JNF2.1 PF10977.7;DUF2797;
fake_2M_genome_001354	A0A0P9I3A2_9ARCH/7-283	37.2	261	158	6	19	275	12	270	9.2e-38	162.9	A0A0P9I3A2_9ARCH/7-283 A0A0P9I3A2.1 PF01972.15;SDH_sah;
fake_2M_genome_001355	A0A094JTV8_9BACL/24-103	100	80	0	0	24	103	1	80	1.8e-36	157.1	A0A094JTV8_9BACL/24-103 A0A094JTV8.1 PF02583.16;Trns_repr_metal;
fake_2M_genome_001356	A0A094M1P0_9BACL/31-171	100	141	0	0	31	171	1	141	3e-78	297.4	A0A094M1P0_9BACL/31-171 A0A094M1P0.1 PF00561.19;Abhydrolase_1;
fake_2M_genome_001357	A0A094JQL6_9BACL/68-289	100	222	0	0	68	289	1	222	3.6e-120	436.8	A0A094JQL6_9BACL/68-289 A0A094JQL6.1 PF01497.17;Peripla_BP_2;
fake_2M_genome_001358	A0A094K9R4_9BACL/12-333	99.7	322	1	0	6	327	1	322	9.1e-175	618.2	A0A094K9R4_9BACL/12-333 A0A094K9R4.1 PF01032.17;FecCD;
fake_2M_genome_001359	A0A094JNE9_9BACL/17-166	100	150	0	0	17	166	1	150	2e-79	301.2	A0A094JNE9_9BACL/17-166 A0A094JNE9.1 PF00005.26;ABC_tran;
fake_2M_genome_001360	A0A094JTV4_9BACL/3-166	99.4	164	1	0	3	166	1	164	1.1e-87	328.2	A0A094JTV4_9BACL/3-166 A0A094JTV4.1 PF01923.17;Cob_adeno_trans;
fake_2M_genome_001361	A0A094M1N7_9BACL/6-116	99.1	111	1	0	6	116	1	111	3.6e-57	226.1	A0A094M1N7_9BACL/6-116 A0A094M1N7.1 PF03960.14;ArsC;
fake_2M_genome_001362	A0A094JQL4_9BACL/4-124	100	121	0	0	6	126	1	121	8.2e-67	258.5	A0A094JQL4_9BACL/4-124 A0A094JQL4.1 PF00578.20;AhpC-TSA;
fake_2M_genome_001363	A0A094K9R0_9BACL/7-128	99.2	122	1	0	7	128	1	122	5.9e-61	238.8	A0A094K9R0_9BACL/7-128 A0A094K9R0.1 PF01597.18;GCV_H;
fake_2M_genome_001365	A0A094JTU8_9BACL/7-192	100	186	0	0	7	192	1	186	8.1e-100	368.6	A0A094JTU8_9BACL/7-192 A0A094JTU8.1 PF00485.17;PRK;
fake_2M_genome_001366	A0A094M1N4_9BACL/17-479	100	463	0	0	17	479	1	463	5e-276	955.3	A0A094M1N4_9BACL/17-479 A0A094M1N4.1 PF01293.19;PEPCK_ATP;
fake_2M_genome_001367	A0A094JQL0_9BACL/3-75	100	73	0	0	3	75	1	73	1.8e-30	137.5	A0A094JQL0_9BACL/3-75 A0A094JQL0.1 PF00575.22;S1;
fake_2M_genome_001368	A0A094K9Q6_9BACL/48-188	100	141	0	0	48	188	1	141	3.6e-75	286.6	A0A094K9Q6_9BACL/48-188 A0A094K9Q6.1 PF06962.11;rRNA_methylase;
fake_2M_genome_001369	A0A0N0HAR6_THEVU/45-219	82.3	175	31	0	42	216	1	175	4.6e-86	323.6	A0A0N0HAR6_THEVU/45-219 A0A0N0HAR6.1 PF04055.20;Radical_SAM;
fake_2M_genome_001370	A0A094JNE0_9BACL/5-279	100	275	0	0	5	279	1	275	1.1e-152	544.7	A0A094JNE0_9BACL/5-279 A0A094JNE0.1 PF08282.11;Hydrolase_3;
fake_2M_genome_001371	A0A094JTU3_9BACL/10-192	100	183	0	0	10	192	1	183	2.5e-95	354.8	A0A094JTU3_9BACL/10-192 A0A094JTU3.1 PF01595.19;DUF21;
fake_2M_genome_001372	A0A094M1N1_9BACL/50-341	100	292	0	0	50	341	1	292	1.5e-165	587.8	A0A094M1N1_9BACL/50-341 A0A094M1N1.1 PF00676.19;E1_dh;
fake_2M_genome_001373	A0A094JQK9_9BACL/2-180	100	179	0	0	2	180	1	179	2.7e-99	367.5	A0A094JQK9_9BACL/2-180 A0A094JQK9.1 PF02779.23;Transket_pyr;
fake_2M_genome_001374	A0A094K9Q2_9BACL/189-420	100	232	0	0	189	420	1	232	2.9e-125	454.1	A0A094K9Q2_9BACL/189-420 A0A094K9Q2.1 PF00198.22;2-oxoacid_dh;
fake_2M_genome_001375	A0A094JND5_9BACL/10-331	100	322	0	0	10	331	1	322	4.3e-178	629.8	A0A094JND5_9BACL/10-331 A0A094JND5.1 PF07992.13;Pyr_redox_2;
fake_2M_genome_001377	A0A094M1M9_9BACL/9-129	100	121	0	0	9	129	1	121	3.6e-58	229.6	A0A094M1M9_9BACL/9-129 A0A094M1M9.1 PF13279.5;4HBT_2;
fake_2M_genome_001378	A0A094JQK4_9BACL/4-74	100	71	0	0	4	74	1	71	2.9e-31	139.4	A0A094JQK4_9BACL/4-74 A0A094JQK4.1 PF06569.10;DUF1128;
fake_2M_genome_001379	A0A094K9P8_9BACL/8-65	100	58	0	0	8	65	1	58	6.8e-28	129	A0A094K9P8_9BACL/8-65 A0A094K9P8.1 PF03745.13;DUF309;
fake_2M_genome_001380	A0A0N0HAS0_THEVU/42-189	69.6	148	45	0	44	191	1	148	1.5e-55	221.5	A0A0N0HAS0_THEVU/42-189 A0A0N0HAS0.1 PF02698.16;DUF218;
fake_2M_genome_001381	F5SJ84_9BACL/7-109	39.2	102	60	1	1	102	1	100	2e-14	84	F5SJ84_9BACL/7-109 F5SJ84.1 PF01521.19;Fe-S_biosyn;
fake_2M_genome_001382	A0A094JTT4_9BACL/137-345	100	209	0	0	137	345	1	209	3.9e-114	417.5	A0A094JTT4_9BACL/137-345 A0A094JTT4.1 PF01175.17;Urocanase;
fake_2M_genome_001383	A0A094M1M7_9BACL/78-419	100	342	0	0	78	419	1	342	7.9e-192	675.2	A0A094M1M7_9BACL/78-419 A0A094M1M7.1 PF01979.19;Amidohydro_1;
fake_2M_genome_001384	A0A094JQK2_9BACL/38-320	100	283	0	0	38	320	1	283	5.5e-164	582.4	A0A094JQK2_9BACL/38-320 A0A094JQK2.1 PF00491.20;Arginase;
fake_2M_genome_001385	A0A094K9P4_9BACL/26-166	100	141	0	0	24	164	1	141	5.6e-75	285.8	A0A094K9P4_9BACL/26-166 A0A094K9P4.1 PF08534.9;Redoxin;
fake_2M_genome_001386	A0A094JNC9_9BACL/11-95	100	85	0	0	26	110	1	85	3.5e-44	183.7	A0A094JNC9_9BACL/11-95 A0A094JNC9.1 PF02834.15;LigT_PEase;
fake_2M_genome_001387	A0A094JTT0_9BACL/150-571	100	422	0	0	125	546	1	422	6.5e-253	878.6	A0A094JTT0_9BACL/150-571 A0A094JTT0.1 PF01964.17;ThiC_Rad_SAM;
fake_2M_genome_001388	A0A094M1M2_9BACL/31-183	99.3	142	1	0	20	161	12	153	1.6e-75	288.1	A0A094M1M2_9BACL/31-183 A0A094M1M2.1 PF00005.26;ABC_tran;
fake_2M_genome_001389	A0A0N0H908_THEVU/20-88	67.6	68	22	0	20	87	1	68	1e-18	99	A0A0N0H908_THEVU/20-88 A0A0N0H908.1 PF00575.22;S1;
fake_2M_genome_001391	A0A094K9N9_9BACL/57-568	100	512	0	0	57	568	1	512	1.2e-293	1014.6	A0A094K9N9_9BACL/57-568 A0A094K9N9.1 PF00330.19;Aconitase;
fake_2M_genome_001392	A0A094JNC4_9BACL/124-245	99.2	122	1	0	124	245	1	122	1.8e-58	231.5	A0A094JNC4_9BACL/124-245 A0A094JNC4.1 PF01614.17;IclR;
fake_2M_genome_001393	A0A094JTS5_9BACL/74-214	100	131	0	0	74	204	1	131	8.2e-67	259.2	A0A094JTS5_9BACL/74-214 A0A094JTS5.1 PF00455.21;DeoRC;
fake_2M_genome_001394	A0A0N0Y8T6_THEVU/35-226	65.6	192	66	0	35	226	1	192	4.8e-69	266.5	A0A0N0Y8T6_THEVU/35-226 A0A0N0Y8T6.1 PF04055.20;Radical_SAM;
fake_2M_genome_001395	A0A094JJI4_9BACL/4-215	100	212	0	0	4	215	1	212	1.1e-118	431.4	A0A094JJI4_9BACL/4-215 A0A094JJI4.1 PF06508.12;QueC;
fake_2M_genome_001396	A0A094JPZ1_9BACL/6-128	100	123	0	0	6	128	1	123	9.4e-70	268.1	A0A094JPZ1_9BACL/6-128 A0A094JPZ1.1 PF01242.18;PTPS;
fake_2M_genome_001397	A0A0N0Y6W8_THEVU/59-139	95.1	81	4	0	60	140	1	81	5e-41	172.9	A0A0N0Y6W8_THEVU/59-139 A0A0N0Y6W8.1 PF14489.5;QueF;
fake_2M_genome_001398	A0A094JLP4_9BACL/9-146	100	138	0	0	9	146	1	138	3.4e-73	279.6	A0A094JLP4_9BACL/9-146 A0A094JLP4.1 PF06491.10;Disulph_isomer;
fake_2M_genome_001400	A0A094JJI1_9BACL/13-236	100	224	0	0	13	236	1	224	1.3e-125	454.5	A0A094JJI1_9BACL/13-236 A0A094JJI1.1 PF00756.19;Esterase;
fake_2M_genome_001401	B1BDW9_CLOBO/57-242	58.4	185	77	0	53	237	1	185	3.6e-57	228	B1BDW9_CLOBO/57-242 B1BDW9.1 PF07670.13;Gate;
fake_2M_genome_001402	A0A094LXV3_9BACL/94-524	98.4	431	7	0	94	524	1	431	2.4e-264	916.8	A0A094LXV3_9BACL/94-524 A0A094LXV3.1 PF00501.27;AMP-binding;
fake_2M_genome_001403	A0A0N0HB06_THEVU/27-98	79.2	72	15	0	26	97	1	72	9.4e-25	119.4	A0A0N0HB06_THEVU/27-98 A0A0N0HB06.1 PF04542.13;Sigma70_r2;
fake_2M_genome_001404	A0A094K5W3_9BACL/7-62	100	56	0	0	1	56	1	56	1.1e-24	119.8	A0A094K5W3_9BACL/7-62 A0A094K5W3.1 PF12791.6;RsgI_N;
fake_2M_genome_001405	A0A094JJH6_9BACL/8-52	100	45	0	0	8	52	1	45	6.4e-19	98.6	A0A094JJH6_9BACL/8-52 A0A094JJH6.1 PF04014.17;MazE_antitoxin;
fake_2M_genome_001406	A0A094JPY0_9BACL/9-257	100	249	0	0	9	257	1	249	1.1e-132	478	A0A094JPY0_9BACL/9-257 A0A094JPY0.1 PF00378.19;ECH_1;
fake_2M_genome_001407	A0A0N0HB22_THEVU/13-133	84.3	121	19	0	32	152	1	121	1.1e-57	229.6	A0A0N0HB22_THEVU/13-133 A0A0N0HB22.1 PF02812.17;ELFV_dehydrog_N;
fake_2M_genome_001408	A0A094K3V2_9BACL/36-326	100	291	0	0	38	328	1	291	2.3e-168	597	A0A094K3V2_9BACL/36-326 A0A094K3V2.1 PF00676.19;E1_dh;
fake_2M_genome_001409	A0A094JJM9_9BACL/2-180	100	179	0	0	2	180	1	179	1.7e-96	358.2	A0A094JJM9_9BACL/2-180 A0A094JJM9.1 PF02779.23;Transket_pyr;
fake_2M_genome_001410	A0A0N0Y6I1_THEVU/180-411	64.5	234	81	1	154	387	1	232	3.3e-83	314.3	A0A0N0Y6I1_THEVU/180-411 A0A0N0Y6I1.1 PF00198.22;2-oxoacid_dh;
fake_2M_genome_001411	A0A094JH87_9BACL/6-435	100	430	0	0	6	435	1	430	2.1e-243	846.7	A0A094JH87_9BACL/6-435 A0A094JH87.1 PF01654.16;Cyt_bd_oxida_I;
fake_2M_genome_001412	A0A094JMQ6_9BACL/7-328	100	322	0	0	7	328	1	322	4.3e-172	609.4	A0A094JMQ6_9BACL/7-328 A0A094JMQ6.1 PF02322.14;Cyt_bd_oxida_II;
fake_2M_genome_001413	A0A094JMU3_9BACL/3-398	99.5	396	2	0	3	398	1	396	6.8e-196	688.7	A0A094JMU3_9BACL/3-398 A0A094JMU3.1 PF00375.17;SDF;
fake_2M_genome_001417	A0A094JJN1_9BACL/1-326	99.7	326	1	0	9	334	1	326	1.2e-185	654.4	A0A094JJN1_9BACL/1-326 A0A094JJN1.1 PF02615.13;Ldh_2;
fake_2M_genome_001419	A0A094JK00_9BACL/4-137	99.3	134	1	0	4	137	1	134	2.8e-72	276.6	A0A094JK00_9BACL/4-137 A0A094JK00.1 PF08868.9;YugN;
fake_2M_genome_001421	A0A094LYG7_9BACL/5-357	100	353	0	0	5	357	1	353	1.1e-213	747.7	A0A094LYG7_9BACL/5-357 A0A094LYG7.1 PF03054.15;tRNA_Me_trans;
fake_2M_genome_001422	A0A094JMC0_9BACL/3-439	100	437	0	0	4	440	1	437	1.4e-234	817.4	A0A094JMC0_9BACL/3-439 A0A094JMC0.1 PF02386.15;TrkH;
fake_2M_genome_001423	A0A094K6F0_9BACL/176-364	100	189	0	0	176	364	1	189	1.9e-102	378.6	A0A094K6F0_9BACL/176-364 A0A094K6F0.1 PF00092.27;VWA;
fake_2M_genome_001425	A0A094JQH3_9BACL/1-204	100	204	0	0	1	204	1	204	5e-107	392.5	A0A094JQH3_9BACL/1-204 A0A094JQH3.1 PF01865.15;PhoU_div;
fake_2M_genome_001426	A0A094LYG0_9BACL/22-319	98.3	298	5	0	22	319	1	298	2.7e-150	537	A0A094LYG0_9BACL/22-319 A0A094LYG0.1 PF01384.19;PHO4;
fake_2M_genome_001427	A0A094JMB5_9BACL/84-468	99	385	4	0	93	477	1	385	9.9e-223	778.1	A0A094JMB5_9BACL/84-468 A0A094JMB5.1 PF01546.27;Peptidase_M20;
fake_2M_genome_001429	A0A094JJZ1_9BACL/4-367	100	364	0	0	4	367	1	364	2.6e-205	719.9	A0A094JJZ1_9BACL/4-367 A0A094JJZ1.1 PF00266.18;Aminotran_5;
fake_2M_genome_001430	A0A094JQG7_9BACL/9-377	100	369	0	0	7	375	1	369	4e-214	749.6	A0A094JQG7_9BACL/9-377 A0A094JQG7.1 PF00890.23;FAD_binding_2;
fake_2M_genome_001431	A0A094LYF5_9BACL/109-274	99.4	166	1	0	109	274	1	166	3.9e-86	323.6	A0A094LYF5_9BACL/109-274 A0A094LYF5.1 PF01729.18;QRPTase_C;
fake_2M_genome_001432	A0A094JMB0_9BACL/29-369	99.4	341	2	0	26	366	1	341	4.1e-192	676	A0A094JMB0_9BACL/29-369 A0A094JMB0.1 PF02445.15;NadA;
fake_2M_genome_001433	F5SFQ8_9BACL/52-174	68.3	120	38	0	33	152	4	123	2.6e-40	171.8	F5SFQ8_9BACL/52-174 F5SFQ8.1 PF03734.13;YkuD;
fake_2M_genome_001434	F5SFQ8_9BACL/52-174	69.2	120	37	0	36	155	4	123	1.1e-41	176	F5SFQ8_9BACL/52-174 F5SFQ8.1 PF03734.13;YkuD;
fake_2M_genome_001435	A0A094K6E1_9BACL/283-370	100	88	0	0	292	379	1	88	3e-44	184.9	A0A094K6E1_9BACL/283-370 A0A094K6E1.1 PF13242.5;Hydrolase_like;
fake_2M_genome_001436	A0A094JJY8_9BACL/97-197	100	101	0	0	97	197	1	101	6.4e-54	216.1	A0A094JJY8_9BACL/97-197 A0A094JJY8.1 PF02777.17;Sod_Fe_C;
fake_2M_genome_001437	D3FQ90_BACPE/108-206	59.4	101	38	1	138	238	1	98	8.7e-26	122.9	D3FQ90_BACPE/108-206 D3FQ90.1 PF07486.11;Hydrolase_2;
fake_2M_genome_001438	A0A094JQG1_9BACL/78-244	99.4	167	1	0	78	244	1	167	9.4e-95	352.8	A0A094JQG1_9BACL/78-244 A0A094JQG1.1 PF06925.10;MGDG_synth;
fake_2M_genome_001439	A0A094LYF0_9BACL/118-341	99.1	224	2	0	112	335	1	224	1.1e-130	471.9	A0A094LYF0_9BACL/118-341 A0A094LYF0.1 PF01557.17;FAA_hydrolase;
fake_2M_genome_001440	F5SFP0_9BACL/137-317	65	180	63	0	189	368	1	180	3.7e-60	238	F5SFP0_9BACL/137-317 F5SFP0.1 PF00742.18;Homoserine_dh;
fake_2M_genome_001441	A0A094JMA4_9BACL/10-64	100	55	0	0	10	64	1	55	3.3e-23	114	A0A094JMA4_9BACL/10-64 A0A094JMA4.1 PF01381.21;HTH_3;
fake_2M_genome_001442	A0A094JQF5_9BACL/175-277	99	103	1	0	175	277	1	103	3.4e-46	191	A0A094JQF5_9BACL/175-277 A0A094JQF5.1 PF07670.13;Gate;
fake_2M_genome_001443	A0A094LYE5_9BACL/18-110	100	93	0	0	18	110	1	93	5.7e-47	192.2	A0A094LYE5_9BACL/18-110 A0A094LYE5.1 PF08863.9;YolD;
fake_2M_genome_001444	A0A094JM98_9BACL/8-156	100	149	0	0	8	156	1	149	1.5e-81	308.9	A0A094JM98_9BACL/8-156 A0A094JM98.1 PF00817.19;IMS;
fake_2M_genome_001445	A0A094K6D2_9BACL/50-532	100	483	0	0	50	532	1	483	1.5e-291	1006.9	A0A094K6D2_9BACL/50-532 A0A094K6D2.1 PF07969.10;Amidohydro_3;
fake_2M_genome_001446	A0A094JJX8_9BACL/46-299	100	254	0	0	49	302	1	254	9.2e-145	518.5	A0A094JJX8_9BACL/46-299 A0A094JJX8.1 PF01619.17;Pro_dh;
fake_2M_genome_001447	A0A094JQE9_9BACL/46-511	99.8	466	1	0	46	511	1	466	1.2e-271	940.6	A0A094JQE9_9BACL/46-511 A0A094JQE9.1 PF00171.21;Aldedh;
fake_2M_genome_001448	A0A090IYY1_9BACI/145-313	81.1	169	32	0	146	314	1	169	4e-72	277.7	A0A090IYY1_9BACI/145-313 A0A090IYY1.1 PF00158.25;Sigma54_activat;
fake_2M_genome_001449	A0A094LYE0_9BACL/13-379	97	367	11	0	13	379	1	367	4e-191	672.9	A0A094LYE0_9BACL/13-379 A0A094LYE0.1 PF03600.15;CitMHS;
fake_2M_genome_001450	A0A094JM93_9BACL/150-300	99.3	151	1	0	150	300	1	151	3.6e-72	277.3	A0A094JM93_9BACL/150-300 A0A094JM93.1 PF03547.17;Mem_trans;
fake_2M_genome_001451	A0A077J6E9_9BACI/4-304	68.8	301	94	0	4	304	1	301	2.4e-116	424.1	A0A077J6E9_9BACI/4-304 A0A077J6E9.1 PF00294.23;PfkB;
fake_2M_genome_001452	A0A0N0Z580_9BACI/17-375	81.3	358	67	0	17	374	2	359	1.4e-167	594.7	A0A0N0Z580_9BACI/17-375 A0A0N0Z580.1 PF07690.15;MFS_1;
fake_2M_genome_001453	A0A077J6F0_9BACI/3-197	69.1	194	60	0	4	197	2	195	2.2e-71	274.2	A0A077J6F0_9BACI/3-197 A0A077J6F0.1 PF01081.18;Aldolase;
fake_2M_genome_001454	A0A077J412_9BACI/62-326	61.1	265	102	1	62	325	1	265	1.1e-90	339	A0A077J412_9BACI/62-326 A0A077J412.1 PF00532.20;Peripla_BP_1;
fake_2M_genome_001455	A0A077J961_9BACI/1-202	58.7	206	77	2	1	202	1	202	3.4e-58	230.3	A0A077J961_9BACI/1-202 A0A077J961.1 PF00215.23;OMPdecase;
fake_2M_genome_001456	A0A077J6E5_9BACI/28-153	74.4	125	32	0	30	154	2	126	1.4e-44	184.9	A0A077J6E5_9BACI/28-153 A0A077J6E5.1 PF01380.21;SIS;
fake_2M_genome_001457	A0A094K6C6_9BACL/2-458	95.8	456	19	0	3	458	2	457	3.2e-250	869.4	A0A094K6C6_9BACL/2-458 A0A094K6C6.1 PF00171.21;Aldedh;
fake_2M_genome_001458	A0A094JJX5_9BACL/4-121	95.8	118	5	0	4	121	1	118	2.2e-64	250.4	A0A094JJX5_9BACL/4-121 A0A094JJX5.1 PF00903.24;Glyoxalase;
fake_2M_genome_001459	A0A0H4PEZ3_9BACI/34-134	38.5	91	54	2	62	151	8	97	2.2e-07	61.2	A0A0H4PEZ3_9BACI/34-134 A0A0H4PEZ3.1 PF04480.11;DUF559;
fake_2M_genome_001460	A0A094JPC9_9BACL/24-129	100	106	0	0	24	129	1	106	5.1e-58	229.2	A0A094JPC9_9BACL/24-129 A0A094JPC9.1 PF07486.11;Hydrolase_2;
fake_2M_genome_001461	A0A0N0YB54_THEVU/20-94	62.7	75	28	0	34	108	1	75	3.8e-24	116.3	A0A0N0YB54_THEVU/20-94 A0A0N0YB54.1 PF09671.9;Spore_GerQ;
fake_2M_genome_001462	A0A094K8J7_9BACL/6-145	98.6	140	2	0	6	145	1	140	4.5e-73	279.3	A0A094K8J7_9BACL/6-145 A0A094K8J7.1 PF11071.7;Nuc_deoxyri_tr3;
fake_2M_genome_001464	A0A094JM68_9BACL/136-294	100	159	0	0	136	294	1	159	7.3e-89	333.6	A0A094JM68_9BACL/136-294 A0A094JM68.1 PF01077.21;NIR_SIR;
fake_2M_genome_001465	A0A094JSM6_9BACL/5-69	100	65	0	0	5	69	1	65	8.1e-29	131.3	A0A094JSM6_9BACL/5-69 A0A094JSM6.1 PF13046.5;DUF3906;
fake_2M_genome_001466	A0A094M0G6_9BACL/39-210	99.4	172	1	0	48	219	1	172	2.7e-99	367.1	A0A094M0G6_9BACL/39-210 A0A094M0G6.1 PF01507.18;PAPS_reduct;
fake_2M_genome_001467	A0A094JPC4_9BACL/169-381	99.5	213	1	0	169	381	1	213	2.2e-124	451.1	A0A094JPC4_9BACL/169-381 A0A094JPC4.1 PF01747.16;ATP-sulfurylase;
fake_2M_genome_001468	A0A094K8J2_9BACL/7-246	100	240	0	0	7	246	1	240	1.4e-126	458	A0A094K8J2_9BACL/7-246 A0A094K8J2.1 PF01925.18;TauE;
fake_2M_genome_001469	A0A094JM64_9BACL/75-212	100	138	0	0	75	212	1	138	4.1e-76	290	A0A094JM64_9BACL/75-212 A0A094JM64.1 PF13365.5;Trypsin_2;
fake_2M_genome_001470	A0A0N0HCZ3_THEVU/31-179	58.5	147	61	0	31	177	1	147	1.1e-39	168.7	A0A0N0HCZ3_THEVU/31-179 A0A0N0HCZ3.1 PF02632.13;BioY;
fake_2M_genome_001472	A0A094M0G2_9BACL/1-61	98.4	61	1	0	1	61	1	61	1.1e-24	117.5	A0A094M0G2_9BACL/1-61 A0A094M0G2.1 PF06014.10;DUF910;
fake_2M_genome_001473	A0A094JPB9_9BACL/1-124	100	124	0	0	1	124	1	124	5.7e-71	272.7	A0A094JPB9_9BACL/1-124 A0A094JPB9.1 PF00694.18;Aconitase_C;
fake_2M_genome_001474	A0A094K8I8_9BACL/8-458	99.8	451	1	0	8	458	1	451	3.4e-263	912.5	A0A094K8I8_9BACL/8-458 A0A094K8I8.1 PF00330.19;Aconitase;
fake_2M_genome_001475	A0A094JKH4_9BACL/1-256	100	256	0	0	90	345	1	256	4e-136	490	A0A094JKH4_9BACL/1-256 A0A094JKH4.1 PF02277.16;DBI_PRT;
fake_2M_genome_001476	A0A094JQX0_9BACL/25-366	93.3	342	23	0	25	366	1	342	1.8e-187	660.6	A0A094JQX0_9BACL/25-366 A0A094JQX0.1 PF00155.20;Aminotran_1_2;
fake_2M_genome_001477	A0A094LYU9_9BACL/4-169	92.2	166	12	1	4	168	1	166	1.3e-84	317.8	A0A094LYU9_9BACL/4-169 A0A094LYU9.1 PF02283.15;CobU;
fake_2M_genome_001478	A0A094JMQ1_9BACL/7-239	97	233	7	0	7	239	1	233	1.2e-131	474.6	A0A094JMQ1_9BACL/7-239 A0A094JMQ1.1 PF02654.14;CobS;
